time,des_roll,roll,des_pitch,pitch,des_yaw,yaw,volt,curr
91136182,0.0,0.0,0.0,-0.01,346.33,346.33,16.115999221801758,0.0
91235705,0.0,0.0,0.0,-0.01,347.85,346.33,16.12175750732422,0.0
91336125,0.0,0.0,0.0,-0.01,352.07,346.33,16.12889862060547,0.0
91435645,0.0,0.0,0.0,-0.01,358.99,346.33,16.128173828125,0.0
91536224,0.0,0.0,0.0,-0.01,8.6,346.33,16.126903533935547,0.0
91635906,0.0,0.0,0.0,-0.01,13.33,346.33,16.128355026245117,0.0
91736161,0.0,0.0,0.0,-0.01,13.39,346.33,16.127023696899414,0.0
91835675,0.0,0.0,-0.01,-0.01,13.46,346.33,16.128637313842773,0.0
91936212,0.0,0.0,0.0,0.0,13.49,346.33,16.12750816345215,0.0
92035677,0.0,0.0,0.0,-0.01,13.49,346.32,16.12811279296875,0.0
92136551,0.0,0.0,0.0,-0.01,13.49,346.32,16.128477096557617,0.0
92235826,0.0,0.0,0.0,0.0,13.49,346.32,16.128477096557617,0.0
92336208,0.0,0.0,-0.01,-0.01,13.48,346.32,16.13113784790039,0.0
92435696,0.0,0.0,0.0,-0.01,13.48,346.32,16.128719329833984,0.0
92536215,0.0,0.0,0.0,0.0,13.48,346.32,16.1273250579834,0.0
92635956,0.0,0.0,-0.01,-0.01,13.48,346.32,16.129175186157227,0.0
92736171,0.0,0.0,-0.01,-0.01,13.48,346.32,16.12902069091797,0.0
92835687,0.0,0.0,-0.01,-0.01,13.48,346.32,16.128173828125,0.0
92936141,-0.01,0.0,0.0,-0.01,13.48,346.32,16.129928588867188,0.0
93035675,-0.01,0.0,0.0,-0.01,13.48,346.31,16.12883949279785,0.0
93136448,-0.01,0.0,0.0,-0.01,346.31,346.31,16.111709594726562,0.0
93235697,-0.01,0.0,0.0,-0.01,346.3,346.31,16.097911834716797,0.0
93336192,-0.01,0.0,0.0,-0.01,346.3,346.31,16.077392578125,0.0
93435728,-0.01,0.0,0.0,-0.01,346.3,346.31,16.072187423706055,0.0
93536220,-0.01,0.01,0.0,-0.02,346.3,346.31,16.0998477935791,0.0
93636002,-0.01,0.01,0.0,-0.01,346.3,346.3,16.106685638427734,0.0
93736222,-0.01,0.01,0.0,-0.02,346.3,346.3,16.11037826538086,0.0
93835713,-0.01,0.01,0.0,-0.02,346.3,346.31,16.111286163330078,0.0
93936221,-0.01,0.01,0.0,-0.02,346.3,346.31,16.114978790283203,0.0
94035689,-0.01,0.01,0.0,-0.01,346.3,346.31,16.11458396911621,0.0
94136472,-0.01,0.01,0.0,-0.02,346.3,346.31,16.113828659057617,0.0
94235686,-0.01,0.01,0.0,-0.02,346.31,346.32,16.116432189941406,0.0
94336138,-0.01,0.01,0.0,-0.02,346.31,346.32,16.117218017578125,0.0
94435704,-0.01,0.01,0.0,-0.02,346.31,346.32,16.08526039123535,0.0
94536128,-0.01,0.01,0.0,-0.02,346.31,346.32,16.02969741821289,0.00040159333730116487
94635959,-0.01,0.01,0.0,-0.03,346.31,346.32,16.053363800048828,0.0
94736168,-0.01,0.01,0.0,-0.03,346.31,346.32,16.077056884765625,0.0
94835621,-0.01,0.01,0.0,-0.02,346.31,346.32,16.087318420410156,0.0
94936192,-0.01,0.02,0.0,-0.03,346.31,346.32,16.089799880981445,0.0
95035700,-0.01,0.02,0.0,-0.03,346.31,346.32,16.089859008789062,0.0
95136531,-0.01,0.02,0.0,-0.03,346.31,346.32,16.09101104736328,0.0
95235704,-0.01,0.02,0.0,-0.03,346.31,346.33,16.091312408447266,0.0
95335728,-0.01,0.02,0.0,-0.03,346.31,346.33,16.09276580810547,0.0
95435771,-0.01,0.02,0.0,-0.03,346.31,346.33,16.091615676879883,0.0
95536150,-0.01,0.02,0.0,-0.03,346.31,346.32,16.091381072998047,0.0
95636023,-0.01,0.02,0.0,-0.03,346.31,346.32,16.090890884399414,0.0
95736203,-0.01,0.02,0.0,-0.04,346.31,346.33,16.090707778930664,0.0
95835694,-0.01,0.02,0.0,-0.03,346.31,346.33,16.090587615966797,0.0
95936138,-0.01,0.03,0.0,-0.03,346.31,346.33,16.093008041381836,0.0
96035780,-0.01,0.02,0.0,-0.03,346.31,346.33,16.08792495727539,0.0
96136394,-0.01,0.03,0.0,-0.04,346.31,346.34000000000003,16.08858871459961,0.0
96235687,-0.01,0.02,0.0,-0.03,346.31,346.34000000000003,16.088346481323242,0.0
96336200,0.0,0.03,0.0,-0.04,346.31,346.34000000000003,16.091514587402344,0.0
96435697,-0.02,0.02,-0.03,-0.03,346.31,346.35,16.03460121154785,0.0014055765932425857
96536235,-0.01,0.03,-0.07,-0.04,346.31,346.33,15.929831504821777,0.8391292095184326
96636008,0.0,0.02,-0.08,-0.04,346.31,346.35,15.857200622558594,2.0348732471466064
96736257,0.02,0.03,-0.07,-0.05,346.31,346.34000000000003,15.806722640991211,2.9133589267730713
96835710,0.0,0.03,-0.06,-0.04,346.31,346.34000000000003,15.718838691711426,4.13942289352417
96936266,-0.04,0.02,-0.05,-0.04,346.31,346.34000000000003,15.618307113647461,5.851615905761719
97035722,-0.08,0.03,-0.04,-0.08,346.31,346.34000000000003,15.510873794555664,7.354735374450684
97136571,-0.12,0.02,-0.01,-0.13,346.31,346.31,15.386796951293945,9.32379150390625
97235761,-0.17,0.02,0.01,-0.15,346.31,346.28000000000003,15.232758522033691,11.621106147766113
97336243,-0.23,0.02,0.04,-0.23,346.31,346.24,15.067464828491211,14.35254192352295
97435724,-0.23,0.22,0.11,-0.27,346.31,346.28000000000003,14.853748321533203,17.332965850830078
97536230,-0.35000000000000003,0.33,0.3,-0.52,346.31,346.84000000000003,14.697290420532227,19.826461791992188
97635982,-0.42,0.25,0.75,-0.77,346.31,348.31,14.770463943481445,19.736501693725586
97736234,-0.45,0.44,1.22,-0.68,346.3,350.49,14.756725311279297,19.476160049438477
97835702,-0.6,0.21,1.72,-0.67,346.3,352.83,14.723496437072754,20.56559181213379
97936161,-0.73,0.31,2.29,-0.08,346.29,354.96,14.77821159362793,21.074010848999023
98035701,-0.8,0.11,2.64,1.1500000000000001,346.29,356.68,14.713872909545898,20.49129867553711
98136544,-0.75,-0.73,2.91,1.26,346.28000000000003,358.03000000000003,14.784870147705078,20.71759605407715
98235786,-0.44,-1.16,3.08,2.08,346.28000000000003,358.88,14.77421760559082,20.297931671142578
98336240,0.19,-1.1400000000000001,3.19,2.48,346.28000000000003,359.54,14.802725791931152,19.310213088989258
98435732,0.87,-0.1,3.31,2.33,346.28000000000003,359.90000000000003,14.832651138305664,18.418853759765625
98536245,1.25,0.87,3.47,2.3000000000000003,346.29,359.92,14.886975288391113,17.81749153137207
98636090,1.26,1.1,3.64,2.35,346.29,359.69,14.926862716674805,17.014705657958984
98736262,1.18,0.87,3.79,2.36,346.29,359.33,14.959970474243164,16.54986000061035
98835743,1.12,0.64,3.8200000000000003,2.5300000000000002,346.29,358.78000000000003,14.964813232421875,16.59222984313965
98936235,1.1500000000000001,0.62,3.79,2.8000000000000003,346.29,358.15000000000003,14.946413040161133,16.475364685058594
99035719,1.19,0.97,3.67,2.89,346.29,357.40000000000003,14.921839714050293,16.457895278930664
99136455,1.16,1.31,3.5100000000000002,2.67,346.29,356.64,14.894722938537598,16.60648536682129
99235775,1.04,1.33,3.2800000000000002,2.13,346.28000000000003,355.99,14.859685897827148,16.853309631347656
99336298,0.91,1.28,3.11,1.54,346.28000000000003,355.43,14.912820816040039,17.169921875
99435691,0.8200000000000001,1.21,2.93,1.57,346.28000000000003,354.90000000000003,14.90150260925293,17.101850509643555
99536188,0.75,1.1300000000000001,2.7800000000000002,1.73,346.27,354.58,14.875052452087402,17.213695526123047
99636036,0.67,1.06,2.65,1.69,346.27,354.40000000000003,14.822516441345215,17.842187881469727
99736377,0.63,0.8300000000000001,2.58,1.6500000000000001,346.27,354.32,14.809080123901367,18.316471099853516
99835732,0.65,0.8200000000000001,2.5100000000000002,1.6,346.27,354.42,14.779664039611816,18.418474197387695
99936222,0.64,0.97,2.45,1.47,346.27,354.58,14.793915748596191,18.71068000793457
100035763,0.62,1.05,2.39,1.5,346.27,354.76,14.78444766998291,18.563047409057617
100136540,0.5700000000000001,1.03,2.36,1.47,346.27,354.86,14.823909759521484,18.493972778320312
100235744,0.51,0.87,2.2600000000000002,1.8,346.27,354.90000000000003,14.855745315551758,17.972705841064453
100336253,0.51,0.58,2.08,1.84,346.27,354.92,14.989930152893066,16.1412410736084
100435712,0.63,0.61,1.8,1.77,346.26,354.78000000000003,15.101236343383789,13.74272346496582
100535718,0.72,0.92,1.59,1.6,336.03000000000003,344.19,15.222349166870117,11.979930877685547
100636006,0.71,0.67,1.49,1.57,336.03000000000003,344.04,15.214056968688965,11.760860443115234
100736335,0.78,0.7000000000000001,1.44,1.6400000000000001,336.03000000000003,343.95,15.168905258178711,12.677184104919434
100835796,1.02,0.68,1.37,1.77,336.03000000000003,343.77,15.089555740356445,13.424662590026855
100936207,1.24,1.24,1.29,1.6600000000000001,336.02,343.63,15.052755355834961,14.093916893005371
101035724,1.34,1.72,1.2,1.3900000000000001,336.02,343.48,15.01632022857666,14.699520111083984
101136566,1.32,1.78,1.1500000000000001,1.25,336.02,343.34000000000003,14.987873077392578,15.277412414550781
101235800,0.98,1.57,1.02,1.1500000000000001,336.02,343.31,14.92643928527832,15.700490951538086
101335830,0.56,0.86,0.9400000000000001,0.6900000000000001,336.02,343.36,14.914515495300293,16.158308029174805
101435713,0.29,0.35000000000000003,0.98,0.45,336.02,343.37,14.892605781555176,16.56732940673828
101536261,0.2,0.09,1.1,0.5,336.02,343.28000000000003,14.900171279907227,16.76004981994629
101636081,0.17,-0.02,1.22,0.72,336.02,343.13,14.87850284576416,16.68961524963379
101735754,0.16,-0.02,1.35,0.8200000000000001,336.02,342.94,14.897144317626953,16.783788681030273
101835778,0.16,0.02,1.42,1.05,336.02,342.7,14.882315635681152,16.69925308227539
101936261,0.2,0.11,1.45,1.1300000000000001,336.02,342.41,14.876323699951172,16.684194564819336
102035730,0.2,0.42,1.49,1.16,336.02,342.21,14.883949279785156,16.646242141723633
102136602,0.14,0.61,1.59,1.31,336.02,342.17,14.899808883666992,16.60126495361328
102235719,0.02,0.59,1.69,1.51,336.02,342.21,14.905686378479004,16.459077835083008
102336279,-0.08,0.32,1.75,1.58,336.02,342.23,14.896599769592285,16.32476806640625
102435784,-0.12,0.31,1.81,1.42,336.02,342.28000000000003,14.889396667480469,16.15127944946289
102536249,-0.15,0.22,1.9100000000000001,1.28,336.02,342.31,14.90719223022461,16.222562789916992
102635982,-0.12,0.11,2.0100000000000002,1.3900000000000001,336.02,342.33,14.907252311706543,16.045059204101562
102736231,-0.08,0.19,2.13,1.54,336.02,342.37,14.92795181274414,15.958715438842773
102835730,0.02,0.13,2.24,1.76,336.02,342.40000000000003,14.919357299804688,16.004295349121094
102936239,0.14,0.44,2.33,2.0,336.02,342.47,14.918463706970215,16.04766845703125
103035713,0.24,0.49,2.33,2.05,336.02,342.43,14.9176025390625,15.926989555358887
103136585,0.29,0.6900000000000001,2.3000000000000003,2.02,336.02,342.37,14.926257133483887,15.97176742553711
103235723,0.3,0.66,2.19,2.04,336.02,342.24,14.913607597351074,16.0518856048584
103336262,0.31,0.55,2.08,2.0,336.02,342.13,14.91354751586914,16.385007858276367
103435703,0.32,0.5,1.94,2.13,336.02,342.02,14.881590843200684,16.54343605041504
103536253,0.3,0.6900000000000001,1.79,1.99,336.02,341.98,14.876869201660156,16.378782272338867
103636002,0.31,0.8,1.6500000000000001,1.7,336.02,342.0,14.87807846069336,16.49042510986328
